CB Link ID,Borough,Community Board,Council District,Latitude,Longitude,Project Status,Smallest PPT,Street Address,Postcode,Link Site ID,Link Smoke Tested and Activated (A),Link Installation (A),Neighborhood Tabulation Area (NTA),Building Identification Number (BIN),Borough-Block-Lot (BBL),Census Tract (CT),Location
LINK-001113,Queens,409,29,40.699841,-73.830936,Link Active!,124790,87-10 LEFFERTS BLVD,11418,qu-09-124790,06/06/2017,05/12/2017,Richmond Hill,4195916,4093280008,4012200,"(40.69984112, -73.83093613)"
LINK-001114,Queens,409,29,40.700159,-73.830914,Link Active!,124777,86-43 LEFFERTS BLVD,11418,qu-09-124777,06/06/2017,05/12/2017,Richmond Hill,4193694,4092730079,4014400,"(40.70015865, -73.8309137)"
LINK-001115,Queens,409,29,40.700864,-73.826551,Link Active!,115253,123-23 JAMAICA AVE,11418,qu-09-115253,06/06/2017,05/06/2017,Richmond Hill,4193811,4092770080,4014201,"(40.70086444735973, -73.82655102120577)"
LINK-001116,Queens,409,29,40.700926,-73.826205,Link Active!,108790,124-05 JAMAICA AVE,11418,qu-09-108790,06/06/2017,05/06/2017,Richmond Hill,4193857,4092780079,4014201,"(40.70092643, -73.82620488)"
LINK-001122,Queens,409,29,40.713167,-73.829809,Link Active!,128371,80-55 KEW GARDENS ROAD,11415,qu-09-128371,07/29/2016,07/20/2016,Kew Gardens,4080149,4033580001,4021600,"(40.71316697, -73.82980897)"
LINK-001123,Queens,406,29,40.717664,-73.836262,Link Active!,124182,112-28 QUEENS BLVD,11375,qu-06-124182,07/29/2016,07/20/2016,Forest Hills,4449594,4033397501,4076901,"(40.717664, -73.836262)"
LINK-001125,Queens,406,29,40.719293,-73.839741,Link Active!,124180,110-44 QUEENS BLVD,11375,qu-06-124180,07/29/2016,07/20/2016,Forest Hills,4078798,4032920015,4076901,"(40.719293, -73.839741)"
LINK-001129,Queens,406,29,40.721526,-73.844884,Link Active!,124194,107-40 Queens Blvd,11375,qu-06-124194,07/10/2017,06/03/2017,Forest Hills,4312083,4032397501,4071100,"(40.72152582, -73.84488371)"
LINK-001130,Queens,406,29,40.726082,-73.852197,Link Active!,128370,101-20 Queens Blvd,11375,qu-06-128370,08/16/2017,11/05/2016,Forest Hills,4075147,4031710028,4071305,"(40.726082, -73.852197)"
LINK-001131,Queens,406,29,40.726241,-73.852519,Link Active!,124204,101-10 QUEENS BLVD,11375,qu-06-124204,08/09/2017,11/05/2016,Forest Hills,4075147,4031710028,4071305,"(40.72624126792173, -73.85251864058972)"
LINK-001134,Queens,406,29,40.728299,-73.858076,Link Active!,124200,98-04 Queens Blvd,11374,qu-06-124200,11/30/2016,11/05/2016,Forest Hills,4072158,4030860007,4071306,"(40.728299, -73.858076)"
LINK-001140,Queens,404,25,40.734545,-73.874705,Link Active!,124921,89-02 Queens Blvd,11373,qu-04-124921,12/29/2016,11/05/2016,Elmhurst,4064743,4028550012,4047500,"(40.73454516, -73.87470458)"
LINK-001141,Queens,404,25,40.734923,-73.875460,Link Active!,142877,88-02 Queens Blvd,11373,qu-04-142877,11/08/2017,10/14/2017,Elmhurst,4064725,4028540009,4047500,"(40.734923, -73.87546)"
LINK-001144,Queens,404,25,40.737206,-73.880940,Link Active!,142872,82-10 QUEENS BLVD,11373,qu-04-142872,07/10/2017,06/03/2017,Elmhurst-Maspeth,4437425,4024750012,4047900,"(40.73720596, -73.88093968)"
LINK-001147,Queens,404,25,40.738208,-73.886253,Link Active!,132440,77-06 Queens Blvd,11373,qu-04-132440,03/20/2017,11/19/2016,Elmhurst-Maspeth,4056456,4024520001,4047900,"(40.738208, -73.886253)"
LINK-001149,Queens,402,26,40.741288,-73.904656,Link Active!,124939,59-40 Queens Blvd,11377,qu-02-124939,01/05/2017,11/05/2016,Woodside,4432196,4023140001,4024500,"(40.741288, -73.904656)"
LINK-001152,Queens,402,26,40.742912,-73.918540,Link Active!,124947,46-02 Queens Blvd,11377,qu-02-124947,02/02/2017,11/05/2016,Hunters Point-Sunnyside-West Maspeth,4533708,4001520007,4023500,"(40.742912, -73.91854)"
LINK-001154,Queens,402,26,40.743063,-73.920682,Link Active!,128387,45-02 44 STREET,11104,qu-02-128387,02/02/2017,11/19/2016,Hunters Point-Sunnyside-West Maspeth,4001993,4001680031,4018300,"(40.74306271, -73.9206815)"
LINK-001155,Queens,402,26,40.743221,-73.921257,Link Active!,142124,43-02 Queens Blvd,11104,qu-02-142124,02/02/2017,11/19/2016,Hunters Point-Sunnyside-West Maspeth,4001992,4001680026,4018300,"(40.743221, -73.921257)"
LINK-001159,Queens,402,26,40.743823,-73.926455,Link Active!,143422,38-18 QUEENS BLVD,11101,qu-02-143422,02/02/2017,11/19/2016,Hunters Point-Sunnyside-West Maspeth,4003170,4002230036,4017900,"(40.743823, -73.926455)"
LINK-001160,Queens,402,26,40.743877,-73.926926,Link Active!,124955,38-02 QUEENS BLVD,11101,qu-02-124955,02/21/2017,11/19/2016,Hunters Point-Sunnyside-West Maspeth,4003169,4002230021,4017900,"(40.74387741, -73.92692611)"
